"Fnorm" "wd" "sparsity"
"1" 218879.421880809 15.6208353220357 0.828464419475655
"2" 364697534.797592 11.8817447529339 0.800499375780275
"3" 30244.9343085468 12.0910181066466 0.776029962546816
"4" 917476.486848139 11.0800639271438 0.780524344569288
"5" 3875121.07566128 11.5448122812606 0.771785268414482
"6" 6713897.29134902 12.9641398505824 0.787016229712859
"7" 19587312.9058699 13.3291915745302 0.794756554307116
"8" 289856.311751566 13.6681751721212 0.793757802746567
"9" 133594149.446893 11.4869445829724 0.775280898876405
"10" 66505008.3010661 12.4045012531728 0.831460674157303
"11" 4976116.87016159 12.3141737124384 0.787515605493134
"12" 5092725.14371427 12.7326155409998 0.803245942571785
"13" 24745890.0332086 12.4626424262224 0.798751560549313
"14" 116023.839517817 13.6354272217441 0.814481897627965
"15" 169930.397048932 12.5814666313518 0.79250936329588
"16" 1202406.53109893 13.4260787211699 0.817977528089888
"17" 214668.070096715 12.7700826403676 0.792759051186018
"18" 268285565.150026 12.654035527125 0.794756554307116
"19" 63490007.2806997 12.4566046364855 0.798002496878901
"20" 101136162.457312 14.936012935441 0.865667915106117
"21" 55795.4609031218 12.1218174177009 0.772284644194757
"22" 624753321.100882 13.4518753780318 0.833707865168539
"23" 22495957.6193541 13.6936035809564 0.817977528089888
"24" 1243842023.99667 13.5295158066013 0.795505617977528
"25" 47023.5447467073 11.2749458834095 0.779525593008739
