"wd" "sparsity"
"1" 3.41609541659833 0.983270911360799
"2" 1.96017029583279 0.916104868913858
"3" 1.78105613749603 0.902122347066167
"4" 1.92622038949571 0.916604244694132
"5" 2.16315496687239 0.983021223470662
"6" 1.78200972511317 0.899625468164794
"7" 3.97107590631063 0.991510611735331
"8" 3.20907126862611 0.989263420724095
"9" 2.61682052644165 0.983520599250936
"10" 2.0481606280399 0.925842696629213
"11" 2.89289614909879 0.984519350811486
"12" 2.71008747427354 0.979775280898876
"13" 4.48308359224971 0.990761548064919
"14" 2.919720074145 0.983021223470662
"15" 1.84160426205446 0.926841448189763
"16" 3.3187197764083 0.985767790262172
"17" 3.7474647738791 0.988264669163546
"18" 2.42344952790131 0.98876404494382
"19" 2.2012869717849 0.976529338327091
"20" 3.06341440972754 0.991510611735331
"21" 3.55817245125079 0.983520599250936
"22" 1.86209406831618 0.925593008739076
"23" 1.79360976627317 0.909862671660424
"24" 3.82115157429258 0.987016229712859
"25" 3.86111173181175 0.986766541822722
