"plat" "n" "lvg_nmi" "sli_nmi" "lvg_ari" "sli_ari" "lvg_sin" "sli_sin"
2 50 0.0202944480006136 0.18245422250664 0.490612244897959 0.60734693877551 1 0.908380238938418
2 50 0.016231350041706 0.22926060264286 0.497142857142857 0.60734693877551 1 0.986651064796094
2 50 0.0202944480006136 0.877699441453994 0.490612244897959 0.96 1 0.656641798211682
2 50 0.0171395020592928 0.463049998403085 0.493061224489796 0.754285714285714 0.981980506061966 0.752559895569607
2 50 0.0202944480006136 0.597820809797727 0.490612244897959 0.849795918367347 1 0.977773529374222
2 50 0.0243171497138246 0.199941653264317 0.502857142857143 0.627755102040816 1 0.936328443435324
2 50 0.0191621059573989 0.478687333913056 0.489795918367347 0.784489795918367 0.98058067569092 0.930936351802044
2 50 0.018113658186413 0.349298318426244 0.490612244897959 0.698775510204082 0.981306762925316 0.871368105036538
2 50 0.0243171497138246 0.237862092053947 0.502857142857143 0.649795918367347 0.981980506061966 0.874263397579397
2 50 0.016231350041706 0.0525365809109093 0.497142857142857 0.519183673469388 0.982607368881035 0.930077903976696
2 50 0.0191621059573989 0.11820011601709 0.489795918367347 0.571428571428571 0.98058067569092 0.964655376373831
2 50 0.0171395020592928 0.231842063758114 0.493061224489796 0.627755102040816 0.981980506061966 0.815179137085035
2 50 0.0243171497138246 0.00280335765898643 0.502857142857143 0.493061224489796 0.981980506061966 0.957873710257067
2 50 0.0138352472286936 0.257876078314661 0.519183673469388 0.542040816326531 0.984250984251476 0.894102575035377
2 50 0.021521888227165 0.878713885004749 0.493061224489796 0.96 1 0.648244619674364
2 50 0.0228575927191792 0.555925440461827 0.497142857142857 0.816326530612245 0.981306762925316 0.887861758251753
