"Fnorm" "wd" "sparsity"
"1" 0 11.0687833287089 0.967540574282147
"2" 0 9.41062801030477 0.982771535580524
"3" 0 10.8305490118736 0.979525593008739
"4" 0 9.12828702344429 0.981772784019975
"5" 0 9.50927464446747 0.978027465667915
"6" 0 10.208578520966 0.97478152309613
"7" 0 11.219505062575 0.975031210986267
"8" 0 10.5890552936057 0.973782771535581
"9" 0 10.8171118560802 0.97752808988764
"10" 0 10.71174555388 0.977028714107366
"11" 0 9.31784934511567 0.973533083645443
"12" 0 9.3041081975896 0.977278401997503
"13" 0 9.77138295583264 0.976529338327091
"14" 0 10.3991665677163 0.971535580524345
"15" 0 9.35169601661333 0.976029962546817
"16" 0 11.1000186472752 0.978027465667915
"17" 0 10.995693911614 0.975280898876404
"18" 0 8.85710130606795 0.971785268414482
"19" 0 9.82470303305594 0.974531835205993
"20" 0 8.36415368367811 0.973033707865169
"21" 0 9.5571962118155 0.97752808988764
"22" 0 9.31139654582492 0.980024968789014
"23" 0 10.4691424719722 0.973283395755306
"24" 0 11.2326839300666 0.972534332084894
"25" 0 10.1668627731397 0.982521847690387
