"Fnorm" "wd" "sparsity"
"1" 4.80474751119894 6.28855113363514 0.92059925093633
"2" 5.28298499161805 5.91841925205352 0.917602996254682
"3" 5.32458997574461 5.95092992951202 0.921598002496879
"4" 5.22055603392687 5.40433012524046 0.91585518102372
"5" 4.92184594039488 6.14212144603612 0.925593008739076
"6" 4.962293642456 5.95702426876354 0.917602996254682
"7" 5.1163053261 5.74701488901471 0.917353308364544
"8" 4.82722628974103 7.28243323430517 0.923595505617978
"9" 5.30051754809561 5.98045719313529 0.917602996254682
"10" 4.85479601862774 6.14451656506286 0.922097378277154
"11" 5.09191921423279 6.19885943900518 0.92059925093633
"12" 4.7671918531164 6.64897285791175 0.922347066167291
"13" 5.07246781518989 6.58093401286685 0.928089887640449
"14" 5.12779617716934 5.86305964501577 0.925842696629213
"15" 4.81104478200803 6.7325400329886 0.92059925093633
"16" 5.11284197688728 6.09228816292116 0.920099875156055
"17" 5.10053242903261 6.72125072613356 0.922097378277154
"18" 5.13931883816962 5.71772552193562 0.915605493133583
"19" 5.16802662728633 6.26538544882398 0.918352059925094
"20" 5.13593139893504 5.48765905736388 0.911111111111111
"21" 5.02455926914052 6.49375866476706 0.925093632958802
"22" 5.5379944942465 5.46183659645384 0.913857677902622
"23" 4.63250474671859 6.24980719152881 0.915355805243446
"24" 4.58683849197236 7.53498641240483 0.920848938826467
"25" 4.97662306840296 6.61381302407064 0.921098626716604
