"plat" "n" "lvg_nmi" "sli_nmi" "lvg_ari" "sli_ari" "lvg_sin" "sli_sin" "lvg_fnorm" "sli_fnorm"
3 375 0.865242426657062 0.851089061865235 0.964653243847875 0.967874720357942 0.646861517778349 0.349170939218425 119.979880306401 60.7280770560953
3 375 1 1 1 1 0.920304814981735 0.516588337348175 98.9846696028561 41.3126614922597
3 375 1 0.672509260067781 1 0.675973154362416 0.522338104800887 0.0960268689297213 154.478336675897 97.3330307372957
3 375 0.430241771576397 1 0.632035794183445 1 0.945740673752588 0.997827251853408 94.4790949761762 43.4879592028227
3 375 1 0.623749211191315 1 0.828724832214765 0.596885416109041 0.0847165176111433 131.978102482423 73.5408948176869
3 375 1 1 0.976470588235294 1 0.269644201342329 0.101544419464137 127.469821628065 68.5607311736657
3 375 0.946812941801324 0.946812941801324 0.983355704697987 0.983355704697987 0.641100557374476 0.250421561444997 140.989166789297 96.2128720246539
3 375 0.527814977849755 1 0.691096196868009 1 0.767015377089697 0.390973070205406 86.0468595835661 38.2631162566496
3 375 1 0.186884636763857 1 0.430782997762864 0.249003098779061 0.0791574735789364 166.476692761504 101.268902918527
3 375 0.784118576575324 0.784118576575324 0.937986577181208 0.937986577181208 0.662994528737631 0.0796395529857139 146.971039658917 90.4632640081935
3 375 1 0.700309449446039 1 0.661744966442953 0.392595258476761 0.0770569824672364 166.476348446778 104.09337767169
3 375 0.567699704044031 0.639856003625408 0.722237136465324 0.838568232662192 0.269967005543509 0.178500423747345 97.9651137559364 89.0233493702253
3 375 1 1 1 1 0.728502818208442 0.157786430825235 100.484951135744 42.7591336193224
3 375 0.0239067839502352 1 0 1 1 0.0921896719408295 151.5 92.6053126732453
3 375 1 1 1 1 0.961129389551839 0.16618641976652 96.526824180359 38.2078888658722
3 375 1 1 1 1 0.834495625888255 0.180787849224015 106.481834395494 47.6593661669942
3 375 0.0166283532761949 0.460908260275966 0.437046979865772 0.687964205816555 0.994301947919425 0.120771670001186 132 73.9604013128242
3 375 0.76125690754585 0.824641852322972 0.895480984340045 0.74496644295302 0.465031405075679 0.104580085465641 151.479297325194 94.2435432966984
3 375 0.465464880504909 0.619876252871255 0.659865771812081 0.817628635346756 0.827847246831763 0.285138393836734 106.480044544412 60.6950160018904
3 375 0.999999999999999 0.999999999999999 1 1 0.426238952089794 0.256321566662503 83.0307503145961 34.5796045455277
3 375 0.658043411281286 1 0.762326621923937 1 0.946619330425306 0.356671906121406 99.5282811238641 39.5695400053063
3 375 1 1 1 1 0.665597344020536 0.659651359553281 90.5523870954172 37.1910165059923
3 375 0.565261934455836 1 0.76 1 0.180643556613583 0.0840510858962679 132.223586493378 74.7982833497655
3 375 0.721460342734218 1 0.785950782997763 1 0.880125597084084 0.105924595157199 112.480367148569 52.6988127367067
3 375 1 0.571741351535343 1 0.782013422818792 0.375215305578434 0.0999115679456436 127.763710936573 67.1723464583144
