"plat" "n" "lvg_nmi" "sli_nmi" "lvg_ari" "sli_ari" "lvg_sin" "sli_sin" "lvg_fnorm" "sli_fnorm"
4 10000 0.927325957222209 1 0.982460850111857 1 0.0908543752440999 0.0144101468997306 104.970178593271 4.95768415007045
4 10000 1 0.773050652765399 1 0.85592841163311 0.179192899453799 0.0547461318798882 76.4953593704415 6.5663261023862
4 10000 1 0.683396777523735 1 0.790425055928412 0.287092187693765 0.192731933511762 72.0000292213857 6.509310004678
4 10000 0.908928161801156 0.687071321060345 0.766442953020134 0.871677852348993 0.0550660952744739 0.0360603561433123 149.921254972593 10.0953639301407
4 10000 1 0.758896689705837 1 0.80572706935123 0.102008927429445 0.0367432098936091 98.9755805861734 7.44339147950979
4 10000 1 0.659888613271033 1 0.762953020134228 0.265111143934797 0.0379596130551625 77.9945124057168 5.10825564549279
4 10000 0.962011469654079 1 0.984161073825503 1 0.281318126793594 0.164553026382118 76.4952090996358 5.50519519895159
4 10000 0.660743742886405 0.670567487822091 0.7834451901566 0.776465324384787 0.381529918487852 0.540789342176307 73.4998055724832 6.56912520160797
4 10000 1 0.807831855124843 1 0.910246085011186 0.489827151376086 0.0517371352528476 80.9907263298862 7.04672015602203
4 10000 1 0.722202124589753 1 0.82013422818792 0.481100795236487 0.283669316677975 63.0107409987466 5.55117402034607
4 10000 1 0.81849631069472 1 0.884384787472036 0.0911698184097847 0.0228241368372342 113.95875911713 7.02952106488396
4 10000 1 0.294811506329463 1 0.492796420581655 0.166224062117094 0.0312611983767511 80.9916316256035 6.43550969361564
4 10000 1 0.80800870046985 1 0.888859060402685 0.385045268421606 0.0732530405334501 70.5039267144107 7.29269594373914
4 10000 1 0.51651931508931 1 0.704876957494407 0.0964891904103805 0.01814180616384 106.467276018777 5.65464405561119
4 10000 0.960693683762782 1 0.98255033557047 1 0.200634066424667 0.0254664737226992 83.9898998376803 6.27820626140777
4 10000 0.838422915939625 1 0.921521252796421 1 0.586802353084032 0.179236499897821 73.4982470022455 7.16108034473585
4 10000 0.902958222917278 0.8795185957496 0.827293064876958 0.919731543624161 0.0796205853116226 0.0396812595171535 127.437131959832 8.35345964747481
4 10000 0.951084075412049 0.88843240308878 0.94738255033557 0.896375838926174 0.117343388759038 0.0255168959160664 107.963800762152 7.74220717274409
4 10000 1 1 1 1 0.0764410881289942 0.0166996342849323 118.45586845323 5.83783312071619
4 10000 0.953243777482458 0.660283878152361 0.986577181208054 0.768232662192394 0.123041387860083 0.0198298312962703 94.4796354100334 6.62456468451454
4 10000 1 1 1 1 0.336021533096905 0.163770986685709 83.9882224888431 9.07742332550506
4 10000 1 1 1 1 0.344444500278573 0.0480690260682193 64.5076208812638 6.1512936819362
4 10000 0.710405180033143 0.653446618208116 0.800626398210291 0.776107382550336 0.208971346037082 0.0504215665836973 80.9918224861107 5.31850992109095
4 10000 0.914043885004327 0.843604051249425 0.967964205816555 0.886353467561521 0.505092623181328 0.298820311518181 80.9918641147926 6.61941016054926
4 10000 1 1 1 1 0.213609857969664 0.0402331380415652 80.9909901609145 5.44663833765034
4 10000 1 0.689640269718944 1 0.811633109619687 0.0971650363403294 0.0234487421280655 106.468544909218 6.00940594061338
4 10000 1 0.742729280266359 1 0.840089485458613 0.112256071267217 0.0248802767142856 95.9775583557105 6.70294987790921
4 10000 0.927700122112639 0.91944620337677 0.719731543624161 0.816823266219239 0.0417272341252049 0.0145651418948276 164.912615112643 21.967876689892
4 10000 1 1 1 1 0.219472177507683 0.185157069070073 71.9994952268547 7.79830169090639
4 10000 1 0.612800587497832 1 0.731901565995526 0.191302544851799 0.0408878595051274 86.9863028392179 7.02421348696154
4 10000 0.980722362982214 0.809495129895264 0.994988814317673 0.900850111856823 0.135928292478879 0.0397408421020341 92.9848687097881 6.5231967430487
4 10000 1 0.766251737449758 1 0.890111856823266 0.134198391735621 0.0203490777605153 89.9824427592351 6.20005828935175
4 10000 1 1 1 1 0.0648275841327644 0.0131324119148308 127.447282895134 9.00314489308858
4 10000 0.805787611447058 1 0.898076062639821 1 0.174247263712502 0.0167808760902712 109.461363957987 6.8920630307036
4 10000 1 1 1 1 0.117587375989762 0.0215326340584503 98.9757441351297 5.66477615339194
4 10000 0.973207196258952 0.935596935183737 0.948456375838926 0.929127516778523 0.16287986346344 0.0296636146597123 91.4811221928323 5.27921564595565
4 10000 1 1 1 1 0.187752652653176 0.019401936045972 76.4984138859704 6.42818511205123
4 10000 0.875180768697708 0.862597548087491 0.879552572706935 0.850380313199105 0.0816322286782057 0.0215923744175502 116.956862136025 7.04494056015789
4 10000 0.913492543459939 0.634769824085761 0.929664429530201 0.834630872483221 0.0924193453083601 0.0144788737265286 122.943985695419 9.85566758207759
4 10000 1 1 1 1 0.146208224052192 0.0352248774428815 85.4863668316886 6.480612177276
4 10000 0.975361821958383 0.78641478678987 0.990514541387025 0.76751677852349 0.0661195327188551 0.0161291297089082 133.438507962376 9.44404339010212
4 10000 1 0.837184306971314 1 0.875257270693512 0.303514807301149 0.148327031897446 98.973223206702 7.69038462246823
4 10000 1 1 1 1 0.156988255972418 0.067576785870351 74.9990905503377 5.31261197069898
4 10000 1 0.837344241215883 1 0.916062639821029 0.150643216079059 0.0254729562779306 89.9835777496272 5.54653566829404
4 10000 1 0.880298373616295 1 0.881879194630872 0.0877116614669541 0.0211120763729237 110.963891266084 6.65704336754251
4 10000 0.888683258742506 0.867753929739999 0.785234899328859 0.780671140939597 0.0553315196855511 0.0227311706754939 140.932781878752 10.3628778655117
4 10000 1 1 0.886977886977887 0.990922121356904 0.298347718043721 0.111723344703185 86.9866429509685 7.26949714920244
4 10000 1 0.834780341545126 1 0.904519015659955 0.270136187759946 0.0596141842340216 73.497541179163 6.55393752612543
4 10000 1 0.792128085236574 1 0.839284116331096 0.632614118198623 0.111495364429283 92.9797864800213 5.33221427530752
4 10000 1 0.703061785567488 1 0.820402684563758 0.152162414709379 0.0354363962376088 80.9920142181054 5.74814263975078
4 10000 0.862600415375424 1 0.952125279642058 1 0.0924791907282281 0.0250885372205844 104.966861844238 7.94157926897861
4 10000 0.977816952268133 0.741540809477956 0.99096196868009 0.861744966442953 0.0651835327088493 0.0147336188794931 128.939101347215 7.02488170929965
4 10000 0.982298995785843 1 0.995615212527964 1 0.178883352979951 0.0434277915171595 82.490773852023 7.56286274598675
4 10000 0.934729737589535 1 0.977807606263982 1 0.0439681045253128 0.0161239369819433 152.919817295378 7.64029203455194
