"plat" "n" "lvg_nmi" "sli_nmi" "lvg_ari" "sli_ari" "lvg_sin" "sli_sin" "lvg_fnorm" "sli_fnorm"
5 300 0.930970433247508 0.75385751036203 0.974944071588367 0.892080536912752 0.575458576119644 0.149639963613277 85.4976016750012 69.9352798699266
5 300 1 0.733154118884585 1 0.811454138702461 0.311572009771791 0.166184474954309 92.0934110504897 55.7802111247025
5 300 0.867956838750196 0.732274381366718 0.925816554809843 0.856644295302013 0.948064059689843 0.335186753339173 72.865881502966 51.5735692999388
5 300 0.737568555113975 0.474444026714659 0.749440715883669 0.613333333333333 0.346325407274888 0.126610647595107 133.48794267359 85.4089377182166
5 300 1 0.503893115872767 1 0.659865771812081 0.978068977624871 0.136527810058893 99.5680961642838 71.1194716370988
5 300 0.82709978128112 0.6364469804977 0.887248322147651 0.802058165548098 0.554523452379483 0.431353246673422 68.2509717164525 83.8872208162925
5 300 0.0198550183102787 0.672754673144085 0.439688010157809 0.703112155020552 0.994169046502282 0.104420323856795 129 81.9963925636476
5 300 1 0.673449416095963 1 0.831051454138702 0.995800696984749 0.224446490410531 60.8416259036296 101.295043015665
5 300 0.860426229063136 0.690360635927034 0.929843400447427 0.797225950782998 0.658054567997331 0.193599531144922 81.5878597133495 72.3885144848861
5 300 0.936682445907007 0.784184928112913 0.887158836689038 0.81413870246085 0.23712966141194 0.179200106181866 101.101782570904 59.2122437900174
5 300 0.0204510451265483 0.522055572440925 0.302997762863535 0.737181208053691 1 0.380280792416556 94.5 78.9657379985938
5 300 0.935208442814947 0.506900630796054 0.935391498881432 0.726085011185682 0.973542228420544 0.496586611762845 76.5007899233021 79.0264502111396
5 300 1 0.73296826473395 1 0.817270693512304 0.304272896029963 0.177584034716547 99.5303824338491 67.5872439202633
5 300 0.976147285433764 0.963803966835328 0.968590604026846 0.972796420581655 0.321135216333815 0.70512704485164 78.6574361057626 74.0128543125108
5 300 0.909764281995914 0.510129132535044 0.892080536912752 0.668724832214765 0.168202689913814 0.136891038069919 114.466480260793 63.3403873698309
5 300 0.92004101055928 0.697567922674436 0.947651006711409 0.849485458612975 0.477564286297461 0.997794594765708 80.1675417591912 86.6422058910809
5 300 0.798622272211062 0.822441560690536 0.86917225950783 0.944340044742729 0.74052396948154 0.402137552976009 77.198494666735 42.9487369634705
5 300 0.631828418201679 0.668312524747545 0.799194630872483 0.836062639821029 0.621249486913736 0.209730697878231 75.8492705147058 80.9008002167401
5 300 1 0.846197954060028 1 0.746237889095032 0.417446366965026 0.372203172902373 84.6646565466122 63.9684180555422
5 300 0.823558286066795 0.756253055311174 0.915078299776286 0.903624161073825 0.62336520181248 0.246755354642735 89.99890842878 47.9414415107138
5 300 0.591582223511429 0.613495352306936 0.697986577181208 0.739776286353468 0.614918453288958 0.453538034953447 115.497506277637 73.0187426875601
5 300 0.793463806872051 0.750605045085611 0.878031319910515 0.885816554809843 0.950213117624497 0.271196734649689 81.8017108181305 76.8666199899274
5 300 0.956961516756093 0.79301544279893 0.959194630872483 0.909082774049217 0.994506564222113 0.176190178741903 90.0060106389956 69.3615042186597
5 300 0.983159325868562 0.701674201785249 0.994093959731544 0.856912751677852 0.708011534579739 0.789427833669716 77.9941510478608 79.4387221666828
5 300 0.893507412163432 0.642720432185528 0.918389261744966 0.853154362416107 0.222057303739391 0.813438377605904 71.2189555478743 75.1347781411272
