"model" "simtype" "TP" "TN" "F1" "sin_theta" "frob_norm" "spec_norm" "ARI"
"1" "SLICE" "simcres" 0.0212247767648855 0.00337621104592431 0.00650301432493369 0.0116018868565286 0.109737203469909 0.0210975485040663 NA
"2" "SLICE" "simeeg" 0 0.0885377386872554 0.0530532678760992 0.0871484431214813 0.447619924137941 0.271781695622142 NA
"3" "SLICE" "simrand" 0.0213004715384669 0.00325825815477308 0.00602188464429101 0.140626205904464 2.051938697071 1.72539938211663 0.0282788467125321
"4" "SLICE" "simspir" 0.0211863280073276 0.00314886594650691 0.00660579627258099 0.0324440846744073 0.334541216598535 0.128279514678584 NA
"5" "SLICE_CLIME" "simcres" 0.0186940446731151 0.00420774080072867 0.00384563392657849 0.0115415541798651 0.128652812277471 0.0218523987013776 NA
"6" "SLICE_CLIME" "simeeg" 0.0382774295918837 0.180549642610192 0.0342365625167121 0.00418498657431705 5.06120869520142 0.00325772402672113 NA
"7" "SLICE_CLIME" "simrand" 0.0302848672265271 0.0843555107848321 0.0245659538790375 0.136471565757518 12.046404472436 12.1595475101978 0.101048018021182
"8" "SLICE_CLIME" "simspir" 0.0179574788282381 0.0222417680387772 0.00869989407300547 0.0322715001353984 0.339276787280066 0.179742990081776 NA
"9" "SLICE_GSCAD" "simcres" 0.0193064066660032 0.00357385115035058 0.00658482565408737 0.0111535251615515 0.137025523510638 0.022376530586748 NA
"10" "SLICE_GSCAD" "simeeg" 0.00641651908527648 0.281860475329795 0.0181311876673961 0.0610905069219957 10.4077578688293 7.69387779509873 NA
"11" "SLICE_GSCAD" "simrand" 0.0222160377007226 0.0147910400702509 0.0161762172717642 0.141671482340925 10.4006275816788 10.5729230859412 0.107766789229014
"12" "SLICE_GSCAD" "simspir" 0.0189512956365326 0.00316249542433159 0.00606673444914977 0.0324233162197882 0.326514565403018 0.131508441181487 NA
"13" "nnLVGLASSO" "simcres" 0.0353927709945135 0.0267772173464656 0.030821852262223 0.0157426270119892 0.0960034402787429 0.0501421401891931 NA
"14" "nnLVGLASSO" "simeeg" 0 9.40007089426511e-05 1.87937738343326e-06 0.00286891895897902 1.0050378148641e-06 2.36968962290055e-07 NA
"15" "nnLVGLASSO" "simrand" 0.00811277107773293 0.014049484837332 0.000824897244019133 0.158483522054445 22.1509723002777 22.1600125093394 0.0648388218376851
"16" "nnLVGLASSO" "simspir" 0.00756821490763315 0.00533190858294074 0.000427368876768804 0.231107473877101 1.41069780674471 0.468930444477813 NA
"17" "rcLVGLASSO" "simcres" 0.00648768977471353 0.00279165025003167 0.000397205292030568 0.000296611913230842 0.777228651732757 0.0268593226999786 NA
"18" "rcLVGLASSO" "simeeg" 0.0190098326498088 0.00207573367812399 0.000390160906008874 6.75996505701857e-05 27.0757745484619 0.00341828744281867 NA
"19" "rcLVGLASSO" "simrand" 0.0026859395125167 0.00648026369599918 0.000282809192278215 0.0142397943659927 22.1465250743577 22.2016603545536 0.135230659439917
"20" "rcLVGLASSO" "simspir" 0.00771692586686946 0.0112039173247913 0.000550379514966721 0.00108969769169541 29.8838219586114 0.469697803850909 NA
"21" "tGLASSO" "simcres" 0 0 NA NA NA NA NA
"22" "tGLASSO" "simeeg" 0.0268320628345939 9.59313031601723e-05 0.0188460097793421 NA NA NA NA
"23" "tGLASSO" "simrand" 0.00579004344770784 0.00089674114750883 0.0101318215926508 NA NA NA NA
"24" "tGLASSO" "simspir" 0.000803647328538527 0 0 NA NA NA NA
