"model" "plat" "n" "F1" "sin_theta" "frob_norm" "spec_norm" "ARI"
"1" "SLICE" 3 75 0.00678415367861577 0.0069504051982698 19.0607106387686 25.3840256241654 0.0230247176609801
"2" "SLICE" 3 150 0.0108551406682313 0.112273389204187 24.298347807795 23.4754808517915 0.0874830020585174
"3" "SLICE" 3 225 0.0180969579481182 0.254793368807661 18.4342615867871 18.0280231136632 0.0787997803338122
"4" "SLICE" 3 300 0.0226884998932577 0.244612340625123 19.6204761336264 20.5407282135678 0.0894760860019437
"5" "SLICE" 3 375 0.0277144622661998 0.23568062184557 22.6111375672871 23.3263214686007 0.0921572696455997
"6" "SLICE" 4 75 0.0067181977722206 0.00729848651811511 18.384574014082 21.9912108701795 0.0394097490898639
"7" "SLICE" 4 150 0.011140321221142 0.109656532158137 21.8670057164797 18.7692426537214 0.0759611730505238
"8" "SLICE" 4 225 0.0190097026915768 0.279639149631959 12.1074319567236 12.3034298285985 0.0970014335568545
"9" "SLICE" 4 300 0.0224744831926272 0.265853031624814 16.0717469235151 15.4840464558507 0.104040937545188
"10" "SLICE" 4 375 0.0271381354157875 0.220604190931324 14.182173863811 16.6727011114539 0.085462199626263
"11" "SLICE" 5 75 0.00627784375264811 0.00959109001984598 15.5869494308611 19.1804116313171 0.0374442561691095
"12" "SLICE" 5 150 0.0110065621386076 0.0909241389334704 20.5919672084042 16.6265675112034 0.0580416630762712
"13" "SLICE" 5 225 0.0191898137718726 0.240083183547445 10.2018566159717 9.20513650377793 0.0975097869460531
"14" "SLICE" 5 300 0.0243895718156958 0.25070545313255 13.6012827294392 10.5485765615882 0.106747390268669
"15" "SLICE" 5 375 0.0268320158193449 0.242482554267656 12.4097616367529 13.7472667267615 0.0911161160179419
"16" "SLICE" 6 75 0.00733188332169739 0.00957069956612521 14.6778547480128 17.2979203947425 0.0344880691559001
"17" "SLICE" 6 150 0.00969209169501109 0.107338230908417 16.0540296976405 14.1050997043786 0.0592792764810349
"18" "SLICE" 6 225 0.0155624027578681 0.25654552512441 9.71265050273951 7.99420453926003 0.0841252421825903
"19" "SLICE" 6 300 0.0251383846036728 0.253324267630578 11.1012064488562 8.11338969422228 0.10561664301406
"20" "SLICE" 6 375 0.0256648978184802 0.260177977766057 12.5187715683958 11.7707764412085 0.0697233098375591
"21" "nnLVGLASSO" 3 75 0.00700923405111987 0.00556374434272739 25.8082528631106 25.8217779144331 0.0927878848469602
"22" "nnLVGLASSO" 3 150 0.0105826669437974 0.0244165233175558 25.5073398453954 25.5063942601816 0.0847130514916385
"23" "nnLVGLASSO" 3 225 0.0201147443670237 0.162426482775406 26.1712591328648 26.2412678528347 0.220635789238626
"24" "nnLVGLASSO" 3 300 0.0306632816292453 0.231495071195583 25.4874628967659 25.5211574729461 0.204375174102969
"25" "nnLVGLASSO" 3 375 0.072800139900199 0.258314983124885 25.4195746840335 25.5504772912128 0.138244115662421
"26" "nnLVGLASSO" 4 75 0.00695442616336647 0.00808832384755211 22.1282900308068 22.1799150893528 0.12644352786131
"27" "nnLVGLASSO" 4 150 0.0127498513018119 0.0207953982652235 23.2435081100139 23.3095975600904 0.141921552069589
"28" "nnLVGLASSO" 4 225 0.0218100630648885 0.167029783152123 22.090176984692 22.2175195525192 0.237998504908516
"29" "nnLVGLASSO" 4 300 0.041803138008417 0.278454705227994 21.928300902145 22.0802777731453 0.195426132182935
"30" "nnLVGLASSO" 4 375 0.069680349042598 0.287533075153493 22.264150286728 22.5133260367466 0.0802680488310166
"31" "nnLVGLASSO" 5 75 0.00703118291651031 0.00602394071411996 19.1766794638939 19.2333510115398 0.176708814754471
"32" "nnLVGLASSO" 5 150 0.0117811001197524 0.0316144815061657 19.1681611812769 19.255425534673 0.187081817803292
"33" "nnLVGLASSO" 5 225 0.0221986092941747 0.207822998156157 19.122681630968 19.2065189282095 0.287978910477543
"34" "nnLVGLASSO" 5 300 0.0442951264747877 0.270906530078503 19.0889923546012 19.2789852091903 0.114047096156627
"35" "nnLVGLASSO" 5 375 0.0514120283171826 0.314026583203041 18.6477486293705 18.8030823574883 0.0527473670987044
"36" "nnLVGLASSO" 6 75 0.00768701040706348 0.00677768040469149 17.3855600083728 17.3664062789226 0.211352295283296
"37" "nnLVGLASSO" 6 150 0.0106498401540631 0.0380455383151437 17.2980045672191 17.4126461057463 0.223806240274195
"38" "nnLVGLASSO" 6 225 0.022307548440727 0.186076019588039 17.2496606402853 17.4274389434941 0.258679380524114
"39" "nnLVGLASSO" 6 300 0.0419680961190294 0.282347520784802 17.2222156522283 17.4178090463371 0.0644697351440435
"40" "nnLVGLASSO" 6 375 0.0427453690808543 0.329761251349375 17.2101431527583 17.4270729211168 0.0747590641352677
"41" "rcLVGLASSO" 3 75 0.00686671261927692 0.00036859449053328 25.6576946428821 25.9440855679986 0.0242046825151474
"42" "rcLVGLASSO" 3 150 0.0139015503511768 0.000135173463644139 470.644322709229 25.510048527222 0.0231236075093242
"43" "rcLVGLASSO" 3 225 0.0191083763958905 5.05809222295755e-05 102.418262794515 26.2758589526944 0.0168693640267209
"44" "rcLVGLASSO" 3 300 0.0232903613373794 3.76643337422297e-05 27.6780872201037 27.4077555957005 0.0200158152929731
"45" "rcLVGLASSO" 3 375 0.0242857216288926 5.14774250792113e-05 27.7898370195213 26.207143116227 0.018558080180184
"46" "rcLVGLASSO" 4 75 0.00805721875882245 0.000283875111369397 21.9364333598163 22.1732160108373 0.0351512464937023
"47" "rcLVGLASSO" 4 150 0.0117384882608328 0.000166834600034385 633.685083767814 22.1621504119395 0.0339183692572869
