"model" "simtype" "TP" "TN" "F1" "sin_theta" "frob_norm" "spec_norm" "ARI"
"1" "SLICE" "simcres" 0.728619528619529 0.859892443463872 0.212463923117529 0.1877977483012 1.07473812276177 0.239514828630182 NA
"2" "SLICE" "simeeg" 1 0.954230216635093 0.527836281840588 0.990150069590236 5.71216003731117 0.273814818807572 NA
"3" "SLICE" "simrand" 0.718282828282828 0.865439419010848 0.216159008822757 0.083919154412201 7.03377616856269 1.91313781027358 0.988805665290976
"4" "SLICE" "simspir" 0.738451178451178 0.860856775142489 0.216130881095755 0.0682856961312063 2.69439771005988 0.683782694532059 NA
"5" "SLICE_CLIME" "simcres" 0.845488215488216 0.75696359624931 0.157368686394515 0.185894049920148 1.01434528914725 0.245147071457186 NA
"6" "SLICE_CLIME" "simeeg" 0.9843 0.72835613555041 0.150816332551607 0.996818535176811 6.52096620222699 0.245125784859314 NA
"7" "SLICE_CLIME" "simrand" 0.845757575757576 0.707240301526016 0.140498867289568 0.0802245310309339 18.3868040491838 13.9645466212674 0.921849859970909
"8" "SLICE_CLIME" "simspir" 0.851380471380471 0.753160507446222 0.156928488830067 0.0686802759290799 2.68775972674246 0.717381154344358 NA
"9" "SLICE_GSCAD" "simcres" 0.80976430976431 0.86180639823497 0.235763369423988 0.182406265908859 0.965881929581994 0.246308580231806 NA
"10" "SLICE_GSCAD" "simeeg" 0.9982 0.141712143303478 0.0294046794476221 0.0997090223484393 28.6118203725615 18.2220509237971 NA
"11" "SLICE_GSCAD" "simrand" 0.804242424242424 0.851436845008274 0.223108877068918 0.0835713510034638 24.5455430022621 20.2353199345044 0.891884747855609
"12" "SLICE_GSCAD" "simspir" 0.812861952861953 0.861852362566648 0.236596115356621 0.0680720490940856 2.64304960926727 0.701017550626542 NA
"13" "nnLVGLASSO" "simcres" 0.739023569023569 0.859453943739658 0.218973524299876 0.225592578124724 2.40247527464192 1.38079673252976 NA
"14" "nnLVGLASSO" "simeeg" 1 4.2078775675943e-05 0.0204048404467619 0.9986968825621 46.6586426037905 30.8756507709262 NA
"15" "nnLVGLASSO" "simrand" 0.983771043771044 0.111467181467182 0.0569952088775198 0.195163834483552 97.7002361478077 97.66166114814 0.964806714507784
"16" "nnLVGLASSO" "simspir" 0.981178451178451 0.0656076484647913 0.0542029186382997 0.72674583963013 42.8095826737859 22.3496147756637 NA
"17" "rcLVGLASSO" "simcres" 0.987811447811448 0.110539621253907 0.0571564428251101 0.99974352049423 6.57504757589666 1.53741680190406 NA
"18" "rcLVGLASSO" "simeeg" 0.9768 0.023620079150177 0.0204075571901324 0.999904282151022 276.178603903534 30.8708116223586 NA
"19" "rcLVGLASSO" "simrand" 0.998316498316498 0.00925629711343997 0.0521526512293791 0.993661545053937 99.6409645529914 97.6643611212539 0.65109323558898
"20" "rcLVGLASSO" "simspir" 0.982693602693603 0.0550312557455415 0.0537133155444728 0.998455857749344 60.2942513064276 22.3848498416392 NA
"21" "tGLASSO" "simcres" 0.0155892255892256 1 0.0309065493544164 NA NA NA NA
"22" "tGLASSO" "simeeg" 0.77 0.997971255988336 0.783695046230749 NA NA NA NA
"23" "tGLASSO" "simrand" 0.0921548821548822 0.996400992829564 0.152387490250635 NA NA NA NA
"24" "tGLASSO" "simspir" 0.0314814814814815 1 0.0608542786545365 NA NA NA NA
