-15,9,-57
15,9,-57
45,9,-57
-45,-81,-27
-15,-81,-27
15,-81,-27
45,-81,-27
-45,-51,-27
-15,-51,-27
15,-51,-27
45,-51,-27
-75,-21,-27
-45,-21,-27
-15,-21,-27
15,-21,-27
45,-21,-27
75,-21,-27
-45,9,-27
-15,9,-27
15,9,-27
45,9,-27
-45,39,-27
-15,39,-27
15,39,-27
45,39,-27
-15,69,-27
15,69,-27
-15,-111,3
15,-111,3
-45,-81,3
-15,-81,3
15,-81,3
45,-81,3
-75,-51,3
-45,-51,3
-15,-51,3
15,-51,3
45,-51,3
75,-51,3
-75,-21,3
-45,-21,3
-15,-21,3
15,-21,3
45,-21,3
75,-21,3
-45,9,3
-15,9,3
15,9,3
45,9,3
-45,39,3
-15,39,3
15,39,3
45,39,3
-15,69,3
15,69,3
45,69,3
-15,-111,33
-45,-81,33
-15,-81,33
15,-81,33
45,-81,33
-45,-51,33
-15,-51,33
15,-51,33
45,-51,33
75,-51,33
-75,-21,33
-45,-21,33
-15,-21,33
15,-21,33
45,-21,33
75,-21,33
-45,9,33
-15,9,33
15,9,33
45,9,33
-45,39,33
-15,39,33
15,39,33
45,39,33
-15,69,33
15,69,33
-45,-81,63
-15,-81,63
15,-81,63
-45,-51,63
-15,-51,63
15,-51,63
45,-51,63
-45,-21,63
-15,-21,63
15,-21,63
45,-21,63
-45,9,63
-15,9,63
15,9,63
45,9,63
-15,39,63
15,39,63
